order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,68,4,464.9,0.15
2,2,7,7,118.38,0.0
3,2,13,8,438.8,0.0
4,3,1,3,494.81,0.05
5,3,71,8,157.22,0.05
6,4,37,5,498.08,0.15
7,4,42,1,361.76,0.2
8,5,74,4,473.74,0.1
9,6,23,7,294.37,0.2
10,7,5,8,422.21,0.0
11,7,51,5,438.55,0.0
12,8,39,10,485.68,0.1
13,9,43,5,342.45,0.05
14,10,68,5,464.9,0.0
15,10,64,2,267.53,0.0
16,10,18,3,232.13,0.15
17,10,65,8,5.28,0.15
18,10,60,5,80.66,0.15
19,11,2,5,321.8,0.1
20,11,44,4,270.8,0.0
21,12,52,7,135.38,0.15
22,12,55,2,456.75,0.0
23,12,66,3,165.46,0.05
24,12,42,6,361.76,0.0
25,12,12,1,471.74,0.0
26,13,31,5,59.28,0.1
27,13,58,10,321.28,0.0
28,13,35,5,36.45,0.15
29,13,43,6,342.45,0.15
30,14,8,8,20.89,0.0
31,14,16,3,200.84,0.05
32,15,40,4,431.09,0.0
33,15,16,3,200.84,0.05
34,15,38,3,266.91,0.05
35,15,48,10,220.21,0.0
36,15,79,7,384.09,0.15
37,16,61,2,382.44,0.1
38,16,69,8,439.97,0.1
39,16,28,6,257.22,0.0
40,16,32,10,315.59,0.0
41,16,77,1,39.26,0.2
42,17,65,3,5.28,0.0
43,17,26,9,113.56,0.05
44,17,74,2,473.74,0.15
45,17,69,4,439.97,0.15
46,17,20,10,127.08,0.05
47,18,66,8,165.46,0.2
48,19,59,3,306.44,0.1
49,20,59,8,306.44,0.15
50,20,73,5,439.61,0.15
51,20,8,1,20.89,0.05
52,20,72,5,33.67,0.2
53,21,28,10,257.22,0.0
54,22,55,6,456.75,0.15
55,23,70,1,416.67,0.0
56,24,5,3,422.21,0.2
57,24,37,7,498.08,0.0
58,24,53,7,252.79,0.05
59,24,24,7,449.42,0.05
60,25,70,3,416.67,0.15
61,26,16,7,200.84,0.1
62,26,23,3,294.37,0.15
63,26,69,4,439.97,0.2
64,27,3,5,280.69,0.05
65,28,55,8,456.75,0.0
66,28,69,3,439.97,0.0
67,28,49,4,229.59,0.15
68,28,30,2,28.32,0.0
69,28,32,7,315.59,0.1
70,29,31,4,59.28,0.0
71,30,77,1,39.26,0.05
72,31,7,4,118.38,0.1
73,31,32,4,315.59,0.2
74,31,6,1,389.12,0.0
75,31,52,9,135.38,0.0
76,31,57,4,152.73,0.2
77,32,41,5,10.68,0.0
78,32,74,9,473.74,0.0
79,32,77,7,39.26,0.0
80,32,42,5,361.76,0.0
81,32,31,9,59.28,0.1
82,33,55,8,456.75,0.0
83,33,72,6,33.67,0.15
84,34,68,3,464.9,0.0
85,34,41,7,10.68,0.0
86,34,54,9,93.43,0.05
87,34,53,4,252.79,0.2
88,35,39,8,485.68,0.0
89,35,19,9,136.12,0.05
90,36,72,4,33.67,0.0
91,36,68,4,464.9,0.0
92,36,18,2,232.13,0.05
93,36,50,6,477.14,0.0
94,37,25,10,202.7,0.0
95,37,7,2,118.38,0.0
96,37,35,10,36.45,0.15
97,37,49,9,229.59,0.0
98,37,78,8,381.5,0.0
99,38,39,4,485.68,0.15
100,38,2,2,321.8,0.15
101,38,28,8,257.22,0.0
102,39,27,5,498.78,0.05
103,39,51,8,438.55,0.1
104,39,31,6,59.28,0.0
105,39,71,5,157.22,0.0
106,39,42,9,361.76,0.05
107,40,13,6,438.8,0.0
108,40,61,7,382.44,0.0
109,40,41,10,10.68,0.2
110,40,27,4,498.78,0.15
111,41,3,9,280.69,0.1
112,41,34,10,213.97,0.15
113,42,38,4,266.91,0.05
114,42,20,10,127.08,0.2
115,42,26,4,113.56,0.05
116,42,43,9,342.45,0.15
117,43,33,3,397.08,0.15
118,43,63,6,390.42,0.0
119,43,59,3,306.44,0.15
120,44,63,1,390.42,0.2
121,44,24,2,449.42,0.2
122,44,70,1,416.67,0.2
123,44,8,1,20.89,0.05
124,44,68,3,464.9,0.2
125,45,9,1,161.15,0.0
126,45,20,9,127.08,0.05
127,46,8,8,20.89,0.15
128,46,80,8,68.55,0.0
129,46,79,1,384.09,0.1
130,47,53,9,252.79,0.0
131,47,2,1,321.8,0.1
132,47,3,7,280.69,0.2
133,47,68,3,464.9,0.0
134,47,36,2,193.9,0.1
135,48,31,10,59.28,0.1
136,48,25,5,202.7,0.2
137,49,35,6,36.45,0.05
138,49,51,8,438.55,0.1
139,49,11,4,109.44,0.15
140,50,39,1,485.68,0.0
141,50,11,7,109.44,0.05
142,51,71,3,157.22,0.0
143,51,61,8,382.44,0.2
144,51,8,7,20.89,0.15
145,51,2,6,321.8,0.1
146,52,68,1,464.9,0.0
147,53,73,5,439.61,0.0
148,53,61,2,382.44,0.15
149,54,70,3,416.67,0.2
150,54,73,6,439.61,0.0
151,54,5,4,422.21,0.1
152,55,51,5,438.55,0.0
153,55,10,10,137.53,0.0
154,56,50,9,477.14,0.15
155,56,70,6,416.67,0.0
156,56,43,2,342.45,0.05
157,56,18,4,232.13,0.2
158,56,11,2,109.44,0.0
159,57,79,5,384.09,0.2
160,57,77,8,39.26,0.05
161,57,51,4,438.55,0.0
162,57,42,9,361.76,0.05
163,57,4,7,343.88,0.0
164,58,49,2,229.59,0.0
165,58,11,5,109.44,0.0
